group,team_id,team,fix_count,total,no_hs,csv_hs_26,hs_25,roster_flavor,note
fixable_payload,697,Texas A&M,14,15,15,0,13,oas_table,"payload has 14 HS values, CSV captured 0"
fixable_payload,528,Oregon State,8,13,13,0,0,person_card,"payload has 8 HS values, CSV captured 0"
fixable_payload,147,Clemson,13,13,13,0,0,oas_table,"payload has 13 HS values, CSV captured 0"
fixable_payload,157,Colorado,2,14,2,12,11,person_card,"payload has 14 HS values, CSV captured 12"
fixable_payload,463,Nebraska,11,12,12,0,14,oas_table,"payload has 11 HS values, CSV captured 0"
fixable_payload,603,St. John's,1,12,1,11,10,person_card,"payload has 12 HS values, CSV captured 11"
fixable_payload,754,Washington State,9,12,12,0,11,oas_table,"payload has 9 HS values, CSV captured 0"
fixable_payload,255,Georgia Tech,11,14,14,0,4,oas_table,"payload has 11 HS values, CSV captured 0"
fixable_payload,521,Oklahoma State,3,13,3,10,12,person_card,"payload has 13 HS values, CSV captured 10"
fixable_payload,695,UT Martin,14,14,14,0,0,person_card,"payload has 14 HS values, CSV captured 0"
fixable_payload,736,Vanderbilt,12,12,12,0,13,oas_table,"payload has 12 HS values, CSV captured 0"
fixable_payload,5,Akron,14,14,14,0,0,person_card,"payload has 14 HS values, CSV captured 0"
dual_template_miss,199,Tex. A&M-Commerce,9,15,9,6,15,oas_card,grid .sidearm-roster-player has HS for all 15; configured custom selector .sidearm-list-card-item picks cards with only 6
dual_template_miss,213,Elmira,17,20,20,0,0,oas_card,list-card template has hometown+HS spans; default grid template lacks them
dual_template_miss,320,John Carroll,4,20,7,13,22,oas_card,page now shows 4 more HS values than the scrape captured
genuine_gap,12799,Wheeling,8,24,24,0,16,oas_card,season page /roster/2026-2027 renders lean cards (no hometown/HS spans; player bios empty); 8 returners backfilled from still-live 2025-26 default /roster (mode wheeling-carryover in backfill_audit.csv, values cross-verified vs rosters_2025-26.csv); 16 newcomers have no published HS anywhere — genuine gap
bio_page_fixable,352,Lehigh,,13,4,9,8,person_card,missing player's bio page shows: Brigidine College St. Ives/Blair Academy
bio_page_fixable,30220,Biola,,15,15,0,0,oas_card,missing player's bio page shows: Lynden Christian School
bio_page_fixable,9223,North Greenville,,15,15,0,0,oas_card,missing player's bio page shows: Wando High School
bio_page_fixable,30262,Jessup,,18,18,0,0,oas_card,missing player's bio page shows: Saint John Paul II Catholic HS
genuine_gap,194,Duquesne,,13,1,12,14,oas_card,"unmapped header 'Hometown / Last School' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
genuine_gap,416,Michigan State,,16,4,12,14,person_card,"unmapped header 'Hometown / Last School' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
genuine_gap,572,Rhode Island,,13,2,11,12,oas_card,"unmapped header 'HOMETOWN / HIGH SCHOOL (LAST SCHOOL)' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
genuine_gap,609,Saint Louis,,12,3,9,9,oas_card,"unmapped header 'Hometown (High School)' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
genuine_gap,738,Vermont,,14,1,13,15,oas_card,"unmapped header 'Hometown / High School (Previous School)' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
genuine_gap,3,Adelphi,,14,2,12,14,oas_card,"unmapped header 'Hometown / Highschool (Previous School)' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
genuine_gap,772,Western Ky.,,13,3,10,11,person_card,"unmapped header 'High School/Previous' added to HEADER_MAP for future scrapes, but missing players' cells are empty — genuine gap"
combined_column,1320,Presbyterian College,,13,13,0,0,oas_card,5 missing rows have HS-looking values in previous_school
combined_column,77,Brigham Young,,12,12,0,13,oas_table,10 missing rows have HS-looking values in previous_school
combined_column,94,Cal State Bakersfield,,15,15,0,0,oas_card,4 missing rows have HS-looking values in previous_school
combined_column,328,Kansas,,13,13,0,0,person_card,13 missing rows have HS-looking values in previous_school
combined_column,355,Liberty,,15,15,0,0,person_card,9 missing rows have HS-looking values in previous_school
combined_column,474,New Orleans,,13,13,0,0,oas_card,3 missing rows have HS-looking values in previous_school
combined_column,473,New Mexico,,15,15,0,0,oas_table,5 missing rows have HS-looking values in previous_school
combined_column,1116,Harding,,12,12,0,0,oas_card,9 missing rows have HS-looking values in previous_school
combined_column,1314,Pittsburg St.,,12,12,0,0,oas_card,8 missing rows have HS-looking values in previous_school
combined_column,159,Columbus St.,,17,17,0,0,oas_card,6 missing rows have HS-looking values in previous_school
combined_column,205,Mont. St. Billings,,13,13,0,0,oas_card,12 missing rows have HS-looking values in previous_school
combined_column,262,Grand Valley St.,,20,20,0,0,oas_card,2 missing rows have HS-looking values in previous_school
combined_column,294,Idaho St.,,15,15,0,0,oas_card,1 missing rows have HS-looking values in previous_school
combined_column,30120,William Jewell,,16,16,0,0,oas_card,2 missing rows have HS-looking values in previous_school
combined_column,30153,Union (TN),,16,11,5,6,oas_card,7 missing rows have HS-looking values in previous_school
combined_column,30202,Okla. Baptist,,12,11,1,0,oas_card,6 missing rows have HS-looking values in previous_school
combined_column,40,Augustana (IL),,21,19,2,0,oas_card,1 missing rows have HS-looking values in previous_school
combined_column,413,MSU Denver,,12,2,10,11,oas_card,1 missing rows have HS-looking values in previous_school
combined_column,429,Mississippi College,,15,15,0,0,oas_card,3 missing rows have HS-looking values in previous_school
combined_column,49,Barry,,14,14,0,0,oas_card,5 missing rows have HS-looking values in previous_school
combined_column,6,Alabama A&M,,15,15,0,0,oas_card,4 missing rows have HS-looking values in previous_school
combined_column,647,South Carolina St.,,19,19,0,0,oas_card,15 missing rows have HS-looking values in previous_school
combined_column,8744,Southwestern Okla.,,12,12,0,0,oas_card,8 missing rows have HS-looking values in previous_school
